sentence,hypothesis,features,amibiguity
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') unset quota('download', '2', 'gb/wk')","define intent hypIntent: for group('guests') unset quota('upload', '4', 'gb/wk')","[4, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('dorms') allow service('youtube') traffic('torrent'),define intent hypIntent: for group('dorms') block service('popcorn time') traffic('peer2peer'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0.2621914804974209, 2, 1, 2, 0.4160707013925449, 2, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('download', '6', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('min', '90', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set quota('download', '2', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.64') set quota('download', '9', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 3.3668660820273706, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') unset bandwidth('max', '30', 'mbps')","define intent hypIntent: for group('dorms') unset quota('upload', '9', 'gb/wk')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('guests') allow service('Battlenet') protocol('smtp'),define intent hypIntent: for group('guests') block service('listserver') protocol('scp'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0.3861442651381717, 2, 1, 2, 0, 0, 0.3779490199587918, 2, 0, 0]",1
"define intent stnIntent: for group('students') set quota('upload', '5', 'gb/wk')","define intent hypIntent: for group('students') set quota('download', '8', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') set bandwidth('max', '70', 'mbps')","define intent hypIntent: for group('dorms') set bandwidth('min', '70', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') allow service('MSN audio') traffic('email') start hour('02:10') end hour('12:10'),define intent hypIntent: for group('students') block traffic('H323 video conferencing') start hour('14:10') end hour('16:30'),"[5, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0.4788764341527408, 2, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') set bandwidth('min', '60', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.8') set bandwidth('min', '90', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.9243574056146713, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') set bandwidth('min', '60', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') allow traffic('voip'), traffic('social media')","[2, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.66'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.485894066521788, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.24') set quota('any', '9', 'gb/wk')","define intent stnIntent: for group('dorms') add middlebox('ids'), middlebox('firewall')","[3, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('unit firewall'), middlebox('parental control')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.6') remove middlebox('parental control'), middlebox('unit firewall'), middlebox('network border system')","[5, 1, 1440.0, 1, 0, 1, 0, 2.876672075130216, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3.7212871315970717, 5]",1
"define intent stnIntent: for group('guests') set quota('any', '7', 'gb/wk')","define intent hypIntent: for group('guest users') set quota('any', '1', 'gb/wk')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') add middlebox('parental control'),"define intent hypIntent: for group('dorms') remove middlebox('load balancer'), middlebox('dpi'), middlebox('parental control')","[3, 1, 1440.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1.4259181434984494, 4]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') block service('NETBIOS') traffic('H323 video conferencing'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.19') block traffic('H323 video conferencing'), traffic('video conference')","[5, 1, 1440.0, 0, 0, 1, 0, 2.2554011268688594, 4, 0, 1, 0, 0, 1.549038145442307, 3, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('max', '40', 'mbps')","define intent hypIntent: for group('student') set bandwidth('min', '80', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') remove middlebox('traffics monitor'),"define intent hypIntent: for group('pupil') add middlebox('network border system'), middlebox('unit firewall'), middlebox('ids')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.9083656470703121, 4]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') allow service('Net2Phone') traffic('voip'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.29') block traffic('H323 video conferencing'), traffic('video conference')","[5, 1, 1440.0, 1, 0, 1, 1, 2.003887346086242, 4, 0, 1, 0, 0, 0.5712691420509827, 3, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') unset quota('upload', '8', 'gb/wk') start hour('02:30') end hour('11:40')","define intent hypIntent: for group('dorms') set bandwidth('min', '40', 'mbps') start hour('16:00') end hour('18:40')","[5, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('max', '80', 'mbps')","define intent hypIntent: for group('educatee') set bandwidth('min', '80', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.44') set quota('download', '9', 'gb/wk')","define intent hypIntent: for group('students') set quota('download', '8', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') add middlebox('traffics monitor'), middlebox('dpi')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') remove middlebox('dpi'), middlebox('traffics monitor'), middlebox('ips')","[3, 1, 1440.0, 1, 0, 0, 0, 3.5567225358904384, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3.5944605215702943, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.78') allow service('email'), service('vimeo') add middlebox('firewall')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.58') allow traffic('voip') protocol('http'),"[3, 1, 1440.0, 0, 0, 0, 0, 3.4062033861577996, 4, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1]",0
"define intent stnIntent: for group('dorms') set quota('any', '2', 'gb/wk')","define intent hypIntent: for group('dorms') set quota('upload', '1', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') set quota('download', '3', 'gb/wk')","define intent stnIntent: for group('dorms') add middlebox('parental control'), middlebox('load balancer'), middlebox('dpi')","[2, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') set bandwidth('min', '10', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.43') set bandwidth('max', '50', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.3459027977154276, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') remove middlebox('copyright monitoring'), middlebox('network border system'), middlebox('traffics monitor')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.43') add middlebox('dpi'), middlebox('unit firewall')","[5, 1, 1440.0, 1, 0, 1, 0, 3.3459027977154276, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.769390869448258, 5]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') allow service('email') traffic('video conference'),define intent hypIntent: for group('dorms') block service('Sony Playstation 2') protocol('secure POP'),"[3, 1, 1440.0, 1, 0, 1, 1, 0, 2, 0.39634777213323663, 2, 0, 1, 0, 1, 0, 1, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.58') add middlebox('dpi') start hour('04:30') end hour('12:30'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.80') remove middlebox('traffics monitor'), middlebox('ids') start hour('16:10') end hour('17:20')","[3, 1, 0, 1, 0, 0, 0, 3.3607203440260647, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.6987362096186789, 3]",0
"define intent stnIntent: for group('dorms') add middlebox('parental control'), middlebox('load balancer'), middlebox('traffics monitor')",define intent hypIntent: for group('dormitory') remove middlebox('load balancer'),"[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.7367057836213813, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') add middlebox('network border system'), middlebox('unit firewall'), middlebox('dpi')","define intent stnIntent: for group('dorms') allow service('irc'), service('Net2Phone')","[2, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set bandwidth('min', '70', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.16') set bandwidth('max', '60', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 2.4287910354598754, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') block service('CounterStrike') traffic('torrent'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.25') block traffic('streaming'), traffic('video conference')","[5, 1, 1440.0, 0, 0, 1, 0, 2.438514631215971, 4, 0, 1, 0, 0, 0.7877055950283813, 3, 0, 0, 0, 0]",0
define intent stnIntent: for group('guests') allow service('email') protocol('udp'),define intent hypIntent: for group('guest users') block service('email') protocol('https'),"[5, 1, 1440.0, 1, 3, 1, 0, 0, 0, 1.0, 2, 0, 2, 0, 0, 0.6438078131927865, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') set bandwidth('min', '70', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') add middlebox('ids'), middlebox('network border system'), middlebox('overuse notification')","[2, 1, 1440.0, 0, 0, 0, 0, 3.3246901240269144, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.38') allow service('instagram') traffic('voip'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') block protocol('tcp'), protocol('smtp')","[3, 1, 1440.0, 1, 0, 0, 1, 2.7283081617884375, 4, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0]",1
"define intent stnIntent: for group('dorms') set bandwidth('min', '50', 'mbps')","define intent stnIntent: for group('dorms') allow service('Sony Playstation 2'), service('AIM chat')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('min', '20', 'mbps')","define intent hypIntent: for group('students') set bandwidth('max', '90', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.33') unset bandwidth('min', '10', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('download', '4', 'gb/wk')","[3, 1, 1440.0, 1, 0, 1, 0, 2.9237973237057515, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('unit firewall'), middlebox('network border system') start hour('09:30') end hour('15:20')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') remove middlebox('firewall'), middlebox('network border system') start hour('08:30') end hour('15:10')","[3, 1, 341.0, 1, 0, 0, 0, 3.487303773653733, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.4646850384422496, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('any', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('any', '8', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 3.5567225358904384, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('dorms') allow service('Everquest') protocol('snmp'),define intent hypIntent: for group('dorms') block traffic('email') protocol('dns'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0.5016593784932303, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set bandwidth('min', '50', 'mbps')","define intent stnIntent: for group('students') add middlebox('copyright monitoring'), middlebox('dpi'), middlebox('overuse notification')","[4, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.41'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.568219945750327, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') unset quota('upload', '2', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('min', '90', 'mbps')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.93') add middlebox('load balancer'), middlebox('network border system'), middlebox('ids')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.69') remove middlebox('ids'), middlebox('firewall'), middlebox('unit firewall')","[3, 1, 1440.0, 1, 0, 0, 0, 3.256347877836946, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3.701814159705735, 6]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') unset bandwidth('min', '90', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') unset bandwidth('min', '20', 'mbps')","[3, 0, 1440.0, 0, 0, 1, 0, 3.1392127101864906, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set bandwidth('max', '80', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('min', '20', 'mbps')","[3, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set bandwidth('min', '70', 'mbps')","define intent hypIntent: for group('scholarly person') set quota('download', '3', 'gb/wk')","[5, 1, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.80') add middlebox('network border system'), middlebox('unit firewall')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') remove middlebox('ips'), middlebox('copyright monitoring'), middlebox('unit firewall')","[4, 1, 1440.0, 1, 0, 0, 0, 3.147429378732485, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.621394883065072, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.93') unset bandwidth('min', '10', 'mbps')","define intent hypIntent: for group('guests') set quota('any', '4', 'gb/wk')","[3, 1, 1440.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set bandwidth('min', '90', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.68') set bandwidth('min', '60', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.4239585551427667, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('max', '80', 'mbps')","define intent hypIntent: for group('guests') set quota('upload', '2', 'gb/wk')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set quota('download', '8', 'gb/wk')","define intent hypIntent: for group('students') set quota('download', '5', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set bandwidth('max', '60', 'mbps')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') allow service('email'), service('amazon prime video')","[2, 1, 1440.0, 0, 0, 0, 0, 3.247411742375882, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') add middlebox('ips'), middlebox('firewall'), middlebox('ids')","define intent hypIntent: for group('guest networks') remove middlebox('dpi'), middlebox('firewall')","[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3.0524216576116654, 5]",1
"define intent stnIntent: for group('guests') set quota('upload', '2', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.40') allow service('facebook'), service('Sorenson Videophone 200')","[2, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') set bandwidth('min', '60', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('min', '60', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('guests') allow service('listserver') add middlebox('firewall'),define intent hypIntent: for group('guests') block traffic('video conference') protocol('icmp') add middlebox('firewall'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1, 1.0, 2]",0
"define intent stnIntent: for group('guests') add middlebox('dpi'), middlebox('overuse notification')","define intent hypIntent: for group('guests') remove middlebox('firewall'), middlebox('unit firewall'), middlebox('dpi')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2.376547353100153, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') block service('Battlenet'), service('vimeo')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.71') block traffic('voip') protocol('nat'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.529106753468852, 4, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0]",0
"define intent stnIntent: for group('dorms') add middlebox('load balancer'), middlebox('unit firewall'), middlebox('dpi')",define intent hypIntent: for group('dorms') remove middlebox('load balancer'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.7706008309422538, 4]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.96') set quota('upload', '7', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set bandwidth('min', '30', 'mbps')","[3, 1, 1440.0, 0, 0, 1, 0, 3.368315275695399, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('students') add middlebox('traffics monitor'),"define intent hypIntent: for group('students') remove middlebox('traffics monitor'), middlebox('load balancer'), middlebox('unit firewall')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.8097933341469996, 4]",1
"define intent stnIntent: for group('dorms') set quota('upload', '8', 'gb/wk')","define intent hypIntent: for group('dorms') set bandwidth('max', '90', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') allow traffic('video conference') protocol('ssh') start hour('09:30') end hour('14:30'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') block traffic('any') protocol('telnet') start hour('09:20') end hour('16:40'),"[4, 1, 301.0, 1, 0, 0, 1, 3.3525049395146143, 4, 0, 0, 0, 0, 0.021115815183492388, 2, 0.7038290105725229, 2, 0, 0]",1
"define intent stnIntent: for group('students') set quota('any', '1', 'gb/wk')","define intent hypIntent: for group('students') set bandwidth('min', '20', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') set bandwidth('min', '40', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.96') set bandwidth('max', '10', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.217554872060471, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') allow traffic('file sharing'), traffic('voip') add middlebox('firewall')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.13') allow protocol('https'), protocol('ssh') add middlebox('firewall')","[3, 1, 1440.0, 0, 0, 1, 1, 2.5404458824486955, 4, 0, 0, 0, 0, 0, 2, 0, 2, 1.0, 2]",0
"define intent stnIntent: for group('guests') set quota('any', '7', 'gb/wk')","define intent hypIntent: for group('guests') set quota('upload', '1', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') add middlebox('dpi'),define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') allow traffic('peer2peer') protocol('tcp'),"[2, 1, 1440.0, 0, 0, 1, 0, 3.554708168581749, 4, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0
"define intent stnIntent: for group('guests') set bandwidth('max', '70', 'mbps')","define intent hypIntent: for group('guests') set bandwidth('min', '30', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('upload', '3', 'gb/wk') start hour('05:20') end hour('12:30')","define intent hypIntent: for group('guests') set bandwidth('max', '20', 'mbps') start hour('14:30') end hour('17:40')","[5, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') allow service('MSN application sharing') traffic('file sharing'),"define intent hypIntent: for group('guests') block protocol('scp'), protocol('telnet')","[3, 1, 1440.0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.29') set quota('any', '5', 'gb/wk') start hour('05:10') end hour('10:20')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('download', '1', 'gb/wk') start hour('14:40') end hour('18:20')","[3, 0, 0, 0, 0, 1, 0, 2.6384616364802413, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') allow service('Net2Phone') traffic('video conference'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.23') block protocol('http'), protocol('quic')","[5, 1, 1440.0, 1, 0, 1, 1, 2.4715899698580333, 4, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.14') set quota('upload', '3', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set bandwidth('max', '60', 'mbps')","[4, 1, 1440.0, 0, 0, 0, 0, 2.1839804530132683, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') allow traffic('file sharing'), traffic('email')","define intent hypIntent: for group('student') block protocol('http'), protocol('sftp')","[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') unset bandwidth('max', '70', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') unset bandwidth('max', '90', 'mbps')","[3, 0, 1440.0, 0, 0, 1, 0, 2.0360320124713542, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') set quota('any', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.76') set quota('upload', '1', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 3.441363731640869, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') add middlebox('load balancer'), middlebox('firewall'), middlebox('ips')","define intent hypIntent: for group('guests') add middlebox('traffics monitor'), middlebox('dpi'), middlebox('unit firewall')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3.6022531743560746, 6]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') allow service('CounterStrike'), service('listserver')","define intent hypIntent: for group('dorms') block traffic('gaming'), traffic('any')","[4, 1, 1440.0, 1, 0, 0, 1, 0, 2, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') set quota('upload', '6', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.42') add middlebox('overuse notification'), middlebox('network border system')","[5, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2]",0
